timestamp,temperature celsius
2025-10-15T16:12:00Z,29.0
2025-10-15T16:13:00Z,28.4
2025-10-15T16:14:00Z,28.2
2025-10-15T16:15:00Z,29.0
2025-10-15T16:16:00Z,30.3
2025-10-15T16:17:00Z,31.0
2025-10-15T16:18:00Z,31.2
2025-10-15T16:19:00Z,31.4
2025-10-15T16:20:00Z,31.8
2025-10-15T16:21:00Z,31.8
2025-10-15T16:22:00Z,32.1
2025-10-15T16:23:00Z,32.1
2025-10-15T16:24:00Z,32.1
2025-10-15T16:25:00Z,32.1
2025-10-15T16:26:00Z,32.1
2025-10-15T16:27:00Z,32.775
2025-10-15T16:28:00Z,32.72
2025-10-15T16:29:00Z,32.84
2025-10-15T16:30:00Z,32.1
2025-10-15T16:31:00Z,32.3
2025-10-15T16:32:00Z,32.3
2025-10-15T16:33:00Z,32.3
2025-10-15T16:34:00Z,32.3
2025-10-15T16:35:00Z,32.3
2025-10-15T16:36:00Z,32.3
2025-10-15T16:37:00Z,32.3
2025-10-15T16:38:00Z,32.3
2025-10-15T16:39:00Z,32.3
2025-10-15T16:40:00Z,32.3
2025-10-15T16:41:00Z,32.3
2025-10-15T16:42:00Z,32.3
2025-10-15T16:43:00Z,32.5
2025-10-15T16:44:00Z,32.5
2025-10-15T16:45:00Z,32.5
2025-10-15T16:46:00Z,32.5
2025-10-15T16:47:00Z,32.5
2025-10-15T16:48:00Z,32.5
2025-10-15T16:49:00Z,32.3
2025-10-15T16:50:00Z,32.5
2025-10-15T16:51:00Z,32.3
2025-10-15T16:52:00Z,32.5
2025-10-15T16:53:00Z,32.3
2025-10-15T16:54:00Z,32.3
2025-10-15T16:55:00Z,32.3
2025-10-15T16:56:00Z,32.3
2025-10-15T16:57:00Z,32.3
2025-10-15T16:58:00Z,32.3
2025-10-15T16:59:00Z,32.3
2025-10-15T17:00:00Z,32.5
2025-10-15T17:01:00Z,32.5
2025-10-15T17:02:00Z,32.5
2025-10-15T17:03:00Z,32.5
2025-10-15T17:04:00Z,32.5
2025-10-15T17:05:00Z,32.5
2025-10-15T17:06:00Z,32.7
2025-10-15T17:07:00Z,32.7
2025-10-15T17:08:00Z,32.5
2025-10-15T17:09:00Z,32.5
2025-10-15T17:10:00Z,32.5
2025-10-15T17:11:00Z,32.7
2025-10-15T17:12:00Z,32.7
2025-10-15T17:13:00Z,32.7
2025-10-15T17:14:00Z,32.7
2025-10-15T17:15:00Z,32.7
2025-10-15T17:16:00Z,32.7
2025-10-15T17:17:00Z,32.7
2025-10-15T17:18:00Z,32.7
2025-10-15T17:19:00Z,32.7
2025-10-15T17:20:00Z,32.7
2025-10-15T17:21:00Z,32.5
2025-10-15T17:22:00Z,32.5
2025-10-15T17:23:00Z,32.5
2025-10-15T17:24:00Z,32.3
2025-10-15T17:25:00Z,32.3
2025-10-15T17:26:00Z,32.3
2025-10-15T17:27:00Z,32.3
2025-10-15T17:28:00Z,32.3
2025-10-15T17:29:00Z,32.3
2025-10-15T17:30:00Z,32.3
2025-10-15T17:31:00Z,32.3
2025-10-15T17:32:00Z,32.5
2025-10-15T17:33:00Z,32.3
2025-10-15T17:34:00Z,32.3
2025-10-15T17:35:00Z,32.3
2025-10-15T17:36:00Z,32.1
2025-10-15T17:37:00Z,32.1
2025-10-15T17:38:00Z,32.1
2025-10-15T17:39:00Z,32.1
2025-10-15T17:40:00Z,32.1
2025-10-15T17:41:00Z,32.1
2025-10-15T17:42:00Z,32.1
2025-10-15T17:43:00Z,32.1
2025-10-15T17:44:00Z,32.1
