clip_id,avg_inferred_valence
AboutTime_000,3.0
AboutTime_001,4.0
AboutTime_002,3.6
AboutTime_003,3.8333333333333335
AboutTime_004,3.3333333333333335
AboutTime_005,3.8333333333333335
AboutTime_006,3.3333333333333335
AboutTime_007,3.8
AboutTime_008,3.6
AboutTime_009,3.6666666666666665
AboutTime_010,3.6
AboutTime_011,3.5
AboutTime_012,4.2
AboutTime_013,3.5
AboutTime_014,3.25
AboutTime_015,2.8
AboutTime_016,3.0
AboutTime_017,3.2
AboutTime_018,3.5
AboutTime_019,3.6
AboutTime_020,3.6666666666666665
AboutTime_021,3.4
AboutTime_022,3.6
AboutTime_024,3.5
AboutTime_031,4.0
AboutTime_032,3.6666666666666665
AboutTime_035,3.6666666666666665
AboutTime_038,3.6
AboutTime_042,3.8333333333333335
AboutTime_046,3.4
AboutTime_048,3.3333333333333335
AboutTime_052,3.8333333333333335
AboutTime_056,3.6
AboutTime_066,3.6666666666666665
AboutTime_068,4.0
AboutTime_069,3.2
AboutTime_071,4.2
AboutTime_073,4.2
AboutTime_075,3.1666666666666665
AboutTime_077,3.5
AboutTime_085,3.8
AboutTime_086,3.8
AboutTime_091,3.6666666666666665
AboutTime_095,3.8
AboutTime_117,3.3333333333333335
AboutTime_120,3.6666666666666665
AboutTime_130,3.6
AboutTime_131,3.8333333333333335
AboutTime_132,3.8
AboutTime_133,3.4
AboutTime_134,4.0
AboutTime_135,3.4
AboutTime_136,3.8333333333333335
Gifted_041,3.6
Gifted_045,3.5
Gifted_049,3.8
LadyBird_001,3.6666666666666665
LadyBird_003,4.166666666666667
LadyBird_005,4.0
LadyBird_011,3.6666666666666665
LadyBird_013,4.0
LadyBird_017,3.1666666666666665
LadyBird_019,4.166666666666667
LadyBird_024,4.0
LadyBird_030,4.0
LadyBird_031,2.6
LadyBird_045,3.6666666666666665
LadyBird_048,4.0
LadyBird_054,3.8
LadyBird_055,3.6666666666666665
LadyBird_056,3.6
LadyBird_057,3.6
LadyBird_066,4.0
LadyBird_068,3.3333333333333335
LadyBird_069,3.6
LadyBird_077,3.8
LadyBird_080,3.8
LadyBird_081,3.5
LadyBird_088,3.3333333333333335
LadyBird_092,3.6666666666666665
LadyBird_093,4.0
LadyBird_099,4.0
LadyBird_104,3.6
LadyBird_109,3.6666666666666665
LadyBird_110,3.5
TheBlindSide_000,3.8
TheBlindSide_001,3.1666666666666665
TheBlindSide_002,3.6666666666666665
TheBlindSide_003,3.6
TheBlindSide_004,3.6
TheBlindSide_005,3.8333333333333335
TheBlindSide_006,4.0
TheBlindSide_007,4.333333333333333
TheBlindSide_008,3.5
TheBlindSide_009,3.4
TheBlindSide_010,3.6666666666666665
TheBlindSide_011,3.6666666666666665
TheBlindSide_012,3.6666666666666665
TheBlindSide_013,3.0
TheBlindSide_014,3.8
TheBlindSide_015,4.0
TheBlindSide_016,3.1666666666666665
TheBlindSide_017,3.8333333333333335
TheBlindSide_018,4.0
TheBlindSide_019,3.6
TheBlindSide_020,3.8
TheBlindSide_021,3.6666666666666665
TheBlindSide_022,3.6666666666666665
TheBlindSide_024,4.0
TheBlindSide_025,4.166666666666667
TheBlindSide_027,4.0
TheBlindSide_028,3.6
TheBlindSide_029,3.2
TheBlindSide_031,3.6666666666666665
TheBlindSide_032,3.5
TheBlindSide_033,3.8333333333333335
TheBlindSide_034,3.6
TheBlindSide_035,3.8333333333333335
TheBlindSide_036,3.6
TheBlindSide_037,3.5
TheBlindSide_038,3.5
TheBlindSide_039,4.0
TheBlindSide_040,4.166666666666667
TheBlindSide_041,2.8
TheBlindSide_042,3.25
