clip_id,avg_inferred_arousal
AboutTime_000,3.8
AboutTime_001,4.0
AboutTime_002,3.6
AboutTime_003,4.0
AboutTime_004,3.5
AboutTime_005,3.3333333333333335
AboutTime_006,3.8333333333333335
AboutTime_007,4.4
AboutTime_008,4.2
AboutTime_009,3.6666666666666665
AboutTime_010,4.2
AboutTime_011,3.3333333333333335
AboutTime_012,4.4
AboutTime_013,3.5
AboutTime_014,2.5
AboutTime_015,3.4
AboutTime_016,2.8333333333333335
AboutTime_017,3.6
AboutTime_018,3.6666666666666665
AboutTime_019,3.6
AboutTime_020,3.3333333333333335
AboutTime_021,3.8
AboutTime_022,3.2
AboutTime_024,3.6666666666666665
AboutTime_031,3.4
AboutTime_032,3.5
AboutTime_035,3.1666666666666665
AboutTime_038,3.8
AboutTime_042,3.6666666666666665
AboutTime_046,3.6
AboutTime_048,3.1666666666666665
AboutTime_052,3.8333333333333335
AboutTime_056,4.0
AboutTime_066,3.1666666666666665
AboutTime_068,4.6
AboutTime_069,3.4
AboutTime_071,3.8
AboutTime_073,3.6
AboutTime_075,3.0
AboutTime_077,3.6666666666666665
AboutTime_085,3.6
AboutTime_086,3.6
AboutTime_091,3.1666666666666665
AboutTime_095,3.4
AboutTime_117,3.3333333333333335
AboutTime_120,3.1666666666666665
AboutTime_130,3.6
AboutTime_131,3.6666666666666665
AboutTime_132,3.2
AboutTime_133,3.6
AboutTime_134,4.0
AboutTime_135,3.4
AboutTime_136,3.6666666666666665
Gifted_041,3.4
Gifted_045,3.5
Gifted_049,3.2
LadyBird_001,3.1666666666666665
LadyBird_003,4.333333333333333
LadyBird_005,3.8
LadyBird_011,3.6666666666666665
LadyBird_013,4.4
LadyBird_017,3.3333333333333335
LadyBird_019,3.6666666666666665
LadyBird_024,3.6
LadyBird_030,3.6666666666666665
LadyBird_031,3.8
LadyBird_045,3.6666666666666665
LadyBird_048,3.4
LadyBird_054,3.8
LadyBird_055,3.6666666666666665
LadyBird_056,3.0
LadyBird_057,3.6
LadyBird_066,3.8333333333333335
LadyBird_068,3.6666666666666665
LadyBird_069,3.8
LadyBird_077,3.4
LadyBird_080,3.6
LadyBird_081,3.0
LadyBird_088,3.6666666666666665
LadyBird_092,3.0
