timestamp,distance,data source
2025-11-20T08:10:00Z,2.80,Sense
2025-11-20T08:11:00Z,10.70,Sense
2025-11-20T08:12:00Z,5.00,Sense
2025-11-20T08:18:00Z,22.20,Sense
2025-11-20T08:19:00Z,61.70,Sense
2025-11-20T08:20:00Z,38.00,Sense
2025-11-20T08:21:00Z,32.30,Sense
2025-11-21T12:17:00Z,3.50,Sense
2025-11-21T12:20:00Z,4.30,Sense
2025-11-21T12:40:00Z,10.70,Sense
2025-11-21T13:06:00Z,4.30,Sense
2025-11-21T13:11:00Z,5.70,Sense
2025-11-21T13:21:00Z,11.40,Sense
2025-11-21T13:22:00Z,56.70,Sense
2025-11-21T13:23:00Z,78.20,Sense
2025-11-21T13:24:00Z,48.80,Sense
2025-11-21T13:25:00Z,58.10,Sense
2025-11-21T13:43:00Z,5.70,Sense
2025-11-21T13:45:00Z,17.20,Sense
