timestamp,steps,data source
2025-11-20T08:10:00Z,4,Sense
2025-11-20T08:11:00Z,15,Sense
2025-11-20T08:12:00Z,7,Sense
2025-11-20T08:18:00Z,31,Sense
2025-11-20T08:19:00Z,86,Sense
2025-11-20T08:20:00Z,53,Sense
2025-11-20T08:21:00Z,45,Sense
2025-11-21T12:17:00Z,5,Sense
2025-11-21T12:20:00Z,6,Sense
2025-11-21T12:40:00Z,15,Sense
2025-11-21T13:06:00Z,6,Sense
2025-11-21T13:11:00Z,8,Sense
2025-11-21T13:21:00Z,16,Sense
2025-11-21T13:22:00Z,79,Sense
2025-11-21T13:23:00Z,109,Sense
2025-11-21T13:24:00Z,68,Sense
2025-11-21T13:25:00Z,81,Sense
2025-11-21T13:43:00Z,8,Sense
2025-11-21T13:45:00Z,24,Sense
