timestamp,eda_level_real
2025-07-27T12:50:00.000+05:30,0.1
2025-07-27T12:51:00.000+05:30,0.1
2025-07-27T12:52:00.000+05:30,0.1
2025-07-27T12:53:00.000+05:30,0.1
2025-07-27T12:54:00.000+05:30,0.1
2025-07-27T12:55:00.000+05:30,0.1
2025-07-27T12:56:00.000+05:30,0.1
2025-07-27T12:57:00.000+05:30,0.1
2025-07-27T12:58:00.000+05:30,0.1
2025-07-27T12:59:00.000+05:30,0.1
2025-07-27T13:00:00.000+05:30,0.1
2025-07-27T13:01:00.000+05:30,0.1
2025-07-27T13:02:00.000+05:30,0.1
2025-07-27T13:03:00.000+05:30,0.1
2025-07-27T13:04:00.000+05:30,0.1
2025-07-27T13:05:01.000+05:30,0.1
2025-07-27T13:06:00.000+05:30,0.1
2025-07-27T13:07:00.000+05:30,0.1
2025-07-27T13:08:00.000+05:30,0.1
2025-07-27T13:29:00.000+05:30,0.1
2025-07-27T13:30:00.000+05:30,0.1
2025-07-27T13:31:00.000+05:30,0.11
2025-07-27T13:32:00.000+05:30,0.11
2025-07-27T13:33:00.000+05:30,0.11
2025-07-27T13:34:00.000+05:30,0.11
2025-07-27T13:35:00.000+05:30,0.11
2025-07-27T13:36:00.000+05:30,0.11
2025-07-27T13:37:00.000+05:30,0.11
2025-07-27T13:38:00.000+05:30,0.11
2025-07-27T13:39:00.000+05:30,0.11
2025-07-27T13:40:00.000+05:30,0.11
2025-07-27T13:41:00.000+05:30,0.11
2025-07-27T16:49:00.000+05:30,0.12
2025-07-27T16:50:00.000+05:30,0.12
2025-07-27T16:51:00.000+05:30,0.12
2025-07-27T16:52:00.000+05:30,0.12
2025-07-27T16:53:00.000+05:30,0.12
2025-07-27T16:54:00.000+05:30,0.12
2025-07-27T16:55:00.000+05:30,0.12
2025-07-27T16:56:00.000+05:30,0.12
2025-07-27T16:57:00.000+05:30,0.12
2025-07-27T16:58:00.000+05:30,0.12
2025-07-27T16:59:00.000+05:30,0.12
2025-07-27T17:00:00.000+05:30,0.12
2025-07-27T17:01:00.000+05:30,0.12
2025-07-27T17:02:00.000+05:30,0.12
2025-07-27T17:03:00.000+05:30,0.12
2025-07-27T17:04:00.000+05:30,0.12
2025-07-27T17:05:00.000+05:30,0.12
2025-07-27T17:06:00.000+05:30,0.12
2025-07-27T17:07:00.000+05:30,0.12
2025-07-27T17:08:00.000+05:30,0.12
2025-07-27T17:09:00.000+05:30,0.12
2025-07-27T17:10:00.000+05:30,0.12
2025-07-27T17:11:00.000+05:30,0.12
2025-07-27T17:12:00.000+05:30,0.12
2025-07-27T17:13:00.000+05:30,0.12
2025-07-27T17:14:00.000+05:30,0.12
