timestamp,eda level real micro siemens,eda slope real micro siemens per minute,scr detection count,leads contact count,minimum i ohms,maximum i ohms,median i ohms,minimum q ohms,maximum q ohms,median q ohms,data source
2025-07-27T07:20:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:21:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:22:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:23:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:24:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:25:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:26:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:27:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:28:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:29:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:30:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:31:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:32:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:33:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:34:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:35:01Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
2025-07-27T07:36:00Z,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Fitbit App
