timestamp,heart rate zone type,kcal,data source
2025-03-25T07:44:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:45:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:46:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:47:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:48:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:49:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:50:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:51:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.20222,Fitbit App
2025-03-25T07:52:00Z,LIGHT,1.80333,Fitbit App
2025-03-25T07:53:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T07:54:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T07:55:00Z,LIGHT,1.20222,Fitbit App
2025-03-25T07:56:00Z,LIGHT,1.5628860000000002,Fitbit App
2025-03-25T07:57:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T07:58:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T07:59:00Z,LIGHT,1.5628860000000002,Fitbit App
2025-03-25T08:00:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:01:00Z,LIGHT,1.80333,Fitbit App
2025-03-25T08:02:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:03:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:04:00Z,LIGHT,1.683108,Fitbit App
2025-03-25T08:05:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:06:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:07:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:08:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:09:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:10:00Z,LIGHT,1.5628860000000002,Fitbit App
2025-03-25T08:11:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:12:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:13:00Z,LIGHT,1.442664,Fitbit App
2025-03-25T08:14:00Z,LIGHT,4.087548,Fitbit App
2025-03-25T08:15:00Z,LIGHT,7.694208000000001,Fitbit App
2025-03-25T08:16:00Z,LIGHT,5.049324,Fitbit App
