timestamp,steps,data source
2025-04-01T04:19:00Z,6,Sense
2025-04-01T04:20:00Z,7,Sense
2025-04-01T04:21:00Z,45,Sense
2025-04-01T04:22:00Z,18,Sense
2025-04-01T04:23:00Z,25,Sense
2025-04-01T04:25:00Z,100,Sense
2025-04-01T04:26:00Z,57,Sense
2025-04-01T04:27:00Z,24,Sense
2025-04-01T04:28:00Z,97,Sense
2025-04-01T04:29:00Z,46,Sense
2025-04-01T04:30:00Z,21,Sense
2025-04-01T04:54:00Z,9,Sense
2025-04-01T05:02:00Z,8,Sense
2025-04-01T05:07:00Z,35,Sense
2025-04-01T05:08:00Z,37,Sense
2025-04-01T05:09:00Z,94,Sense
2025-04-01T05:10:00Z,95,Sense
2025-04-01T05:11:00Z,101,Sense
2025-04-01T05:12:00Z,30,Sense
2025-04-01T05:15:00Z,15,Sense
2025-04-01T05:25:00Z,20,Sense
2025-04-01T05:26:00Z,36,Sense
2025-04-01T05:27:00Z,2,Sense
2025-04-01T05:28:00Z,23,Sense
2025-04-01T06:08:00Z,8,Sense
2025-04-01T06:31:00Z,8,Sense
2025-04-01T07:08:00Z,4,Sense
2025-04-01T07:22:00Z,12,Sense
2025-04-01T07:44:00Z,13,Sense
2025-04-01T07:45:00Z,6,Sense
2025-04-01T07:52:00Z,20,Sense
2025-04-01T07:53:00Z,2,Sense
2025-04-01T08:38:00Z,11,Sense
2025-04-01T09:54:00Z,7,Sense
2025-04-01T11:06:00Z,23,Sense
2025-04-01T11:07:00Z,62,Sense
2025-04-01T11:08:00Z,94,Sense
2025-04-01T11:09:00Z,32,Sense
2025-04-01T11:10:00Z,16,Sense
2025-04-01T11:11:00Z,12,Sense
2025-04-01T11:12:00Z,33,Sense
2025-04-01T11:13:00Z,33,Sense
2025-04-01T11:14:00Z,10,Sense
2025-04-01T11:15:00Z,51,Sense
2025-04-01T11:16:00Z,87,Sense
2025-04-01T11:17:00Z,55,Sense
2025-04-01T11:18:00Z,61,Sense
2025-04-01T11:19:00Z,61,Sense
2025-04-01T11:20:00Z,24,Sense
2025-04-01T11:21:00Z,19,Sense
2025-04-01T11:23:00Z,69,Sense
2025-04-01T11:24:00Z,84,Sense
2025-04-01T14:45:00Z,10,Sense
2025-04-01T14:56:00Z,7,Sense
2025-04-01T15:08:00Z,13,Sense
2025-04-01T15:09:00Z,13,Sense
2025-04-01T15:10:00Z,82,Sense
2025-04-01T15:11:00Z,38,Sense
2025-04-01T15:12:00Z,11,Sense
2025-04-01T15:23:00Z,43,Sense
2025-04-01T15:24:00Z,56,Sense
2025-04-01T15:25:00Z,95,Sense
2025-04-01T15:26:00Z,62,Sense
2025-04-01T15:27:00Z,95,Sense
2025-04-01T15:28:00Z,74,Sense
2025-04-01T15:29:00Z,50,Sense
2025-04-01T18:23:00Z,11,Sense
2025-04-01T18:24:00Z,8,Sense
2025-04-01T18:39:00Z,14,Sense
2025-04-02T02:03:00Z,50,Sense
2025-04-02T02:04:00Z,71,Sense
2025-04-02T02:05:00Z,22,Sense
2025-04-02T02:09:00Z,12,Sense
2025-04-02T02:10:00Z,84,Sense
2025-04-02T02:11:00Z,96,Sense
2025-04-02T02:12:00Z,74,Sense
2025-04-02T02:13:00Z,36,Sense
2025-04-02T02:14:00Z,77,Sense
2025-04-02T02:15:00Z,64,Sense
2025-04-02T02:16:00Z,52,Sense
2025-04-02T02:17:00Z,19,Sense
2025-04-02T02:18:00Z,5,Sense
2025-04-02T02:21:00Z,22,Sense
2025-04-02T02:22:00Z,114,Sense
2025-04-02T02:23:00Z,30,Sense
2025-04-02T02:28:00Z,10,Sense
2025-04-02T02:29:00Z,7,Sense
2025-04-02T03:54:00Z,22,Sense
2025-04-02T03:55:00Z,49,Sense
2025-04-02T03:56:00Z,92,Sense
2025-04-02T03:57:00Z,102,Sense
2025-04-02T03:58:00Z,58,Sense
2025-04-02T03:59:00Z,64,Sense
2025-04-02T04:00:00Z,32,Sense
2025-04-02T04:01:00Z,46,Sense
2025-04-02T04:02:00Z,2,Sense
2025-04-02T04:03:00Z,82,Sense
2025-04-02T04:04:00Z,90,Sense
2025-04-02T04:05:00Z,81,Sense
2025-04-02T04:06:00Z,79,Sense
2025-04-02T04:07:00Z,69,Sense
2025-04-02T04:08:00Z,49,Sense
2025-04-02T04:09:00Z,1,Sense
2025-04-02T04:10:00Z,29,Sense
2025-04-02T04:11:00Z,27,Sense
2025-04-02T04:12:00Z,83,Sense
2025-04-02T04:13:00Z,72,Sense
2025-04-02T06:36:00Z,21,Sense
2025-04-02T06:37:00Z,107,Sense
2025-04-02T06:38:00Z,88,Sense
2025-04-02T06:39:00Z,84,Sense
2025-04-02T06:40:00Z,66,Sense
2025-04-02T06:41:00Z,84,Sense
2025-04-02T06:42:00Z,67,Sense
2025-04-02T06:43:00Z,41,Sense
2025-04-02T06:44:00Z,9,Sense
2025-04-02T06:47:00Z,41,Sense
2025-04-02T06:48:00Z,104,Sense
2025-04-02T06:49:00Z,40,Sense
2025-04-02T07:17:00Z,7,Sense
2025-04-02T07:35:00Z,11,Sense
2025-04-02T07:36:00Z,75,Sense
2025-04-02T07:37:00Z,90,Sense
