timestamp,nightly temperature celsius,baseline temperature celsius,relative nightly stddev 30d celsius,data source
2025-03-31T00:00:00Z,30.63681632653061,NaN,NaN,Fitbit App
2025-04-01T00:00:00Z,30.851443883984867,NaN,NaN,Fitbit App
2025-04-02T00:00:00Z,30.092990314769978,30.63681632653061,0.3909525836852558,Fitbit App
2025-07-27T00:00:00Z,34.20134246575342,30.74413010525774,1.8646556437666308,Fitbit App
2025-08-07T00:00:00Z,29.849432773109246,30.472217099377424,2.014077419825853,Fitbit App
2025-08-08T00:00:00Z,29.668220858895705,29.97121154393961,2.1725456266128864,Fitbit App
2025-08-09T00:00:00Z,29.98855949895616,29.918996136032703,2.1869053601082307,Fitbit App
2025-08-11T00:00:00Z,32.0174231678487,29.98855949895616,1.9557017381956106,Fitbit App
2025-08-12T00:00:00Z,31.990550373134326,30.989554936045245,1.7829682742517052,Fitbit App
2025-08-16T00:00:00Z,30.62143859649123,30.62143859649123,1.6468829193496166,Fitbit App
