timestamp,distance,data source
2025-11-16T12:59:55Z,1.34,Fitbit App
2025-11-16T13:01:00Z,76.10,Sense
2025-11-16T13:02:00Z,52.20,Sense
2025-11-16T13:03:00Z,67.90,Sense
2025-11-16T13:04:00Z,77.60,Sense
2025-11-16T13:05:00Z,79.10,Sense
2025-11-16T13:06:00Z,80.60,Sense
2025-11-16T13:07:00Z,64.90,Sense
2025-11-16T13:08:00Z,57.50,Sense
2025-11-16T13:09:00Z,54.50,Sense
2025-11-16T13:52:55Z,8.05,Fitbit App
2025-11-16T13:53:55Z,4.70,Fitbit App
2025-11-16T13:54:04Z,1.34,Fitbit App
2025-11-16T13:57:04Z,1.34,Fitbit App
2025-11-16T13:58:04Z,61.49,Fitbit App
2025-11-16T13:59:04Z,74.48,Fitbit App
2025-11-16T14:00:04Z,79.67,Fitbit App
2025-11-16T14:01:04Z,71.88,Fitbit App
2025-11-16T14:02:04Z,16.10,Fitbit App
2025-11-16T14:03:04Z,64.08,Fitbit App
2025-11-16T14:04:04Z,77.94,Fitbit App
2025-11-16T14:05:04Z,70.15,Fitbit App
2025-11-16T14:06:04Z,83.14,Fitbit App
2025-11-16T14:07:04Z,32.88,Fitbit App
2025-11-16T14:08:04Z,32.21,Fitbit App
2025-11-16T14:09:04Z,2.68,Fitbit App
2025-11-16T14:50:04Z,0.67,Fitbit App
2025-11-16T14:51:04Z,22.81,Fitbit App
2025-11-16T14:57:04Z,0.67,Fitbit App
2025-11-16T14:58:04Z,24.83,Fitbit App
2025-11-16T14:59:04Z,22.81,Fitbit App
2025-11-16T15:00:04Z,44.29,Fitbit App
2025-11-16T15:01:04Z,79.67,Fitbit App
2025-11-16T15:02:04Z,67.55,Fitbit App
2025-11-16T15:03:04Z,5.37,Fitbit App
2025-11-16T15:04:04Z,9.39,Fitbit App
2025-11-16T15:06:04Z,0.67,Fitbit App
2025-11-16T15:07:04Z,40.26,Fitbit App
2025-11-16T15:08:04Z,76.21,Fitbit App
2025-11-16T15:09:04Z,74.48,Fitbit App
2025-11-16T15:10:04Z,77.07,Fitbit App
2025-11-16T15:11:04Z,76.21,Fitbit App
2025-11-16T15:12:04Z,75.34,Fitbit App
2025-11-16T15:13:04Z,80.54,Fitbit App
2025-11-16T15:14:04Z,78.81,Fitbit App
2025-11-16T15:15:04Z,75.34,Fitbit App
2025-11-16T15:16:04Z,76.21,Fitbit App
2025-11-16T15:17:04Z,76.21,Fitbit App
2025-11-16T15:18:04Z,76.21,Fitbit App
2025-11-16T15:19:04Z,77.07,Fitbit App
2025-11-16T15:20:04Z,74.48,Fitbit App
2025-11-16T15:21:04Z,73.61,Fitbit App
2025-11-16T15:22:04Z,76.21,Fitbit App
2025-11-16T15:23:04Z,74.48,Fitbit App
2025-11-16T15:24:04Z,75.34,Fitbit App
2025-11-16T15:25:04Z,71.01,Fitbit App
2025-11-16T15:26:04Z,40.93,Fitbit App
2025-11-16T15:27:04Z,59.75,Fitbit App
2025-11-16T15:28:04Z,25.50,Fitbit App
2025-11-16T15:29:04Z,73.61,Fitbit App
2025-11-16T15:30:04Z,69.28,Fitbit App
2025-11-16T23:19:04Z,0.67,Fitbit App
2025-11-16T23:20:04Z,8.72,Fitbit App
2025-11-16T23:21:04Z,6.71,Fitbit App
2025-11-16T23:39:04Z,0.67,Fitbit App
2025-11-16T23:40:04Z,12.08,Fitbit App
2025-11-16T23:46:04Z,4.03,Fitbit App
2025-11-16T23:47:04Z,4.03,Fitbit App
2025-11-16T23:50:04Z,2.01,Fitbit App
2025-11-16T23:51:04Z,8.05,Fitbit App
2025-11-17T08:07:04Z,0.67,Fitbit App
2025-11-17T08:08:04Z,21.47,Fitbit App
2025-11-17T08:09:04Z,65.82,Fitbit App
2025-11-17T08:10:04Z,3.36,Fitbit App
2025-11-17T08:11:04Z,15.43,Fitbit App
2025-11-17T08:17:04Z,13.42,Fitbit App
2025-11-17T08:18:04Z,30.20,Fitbit App
