timestamp,temperature celsius
2025-10-27T15:31:00Z,34.9
2025-10-27T15:32:00Z,34.9
2025-10-27T15:33:00Z,34.5
2025-10-27T15:34:00Z,33.8
2025-10-27T15:35:00Z,33.4
2025-10-27T15:36:00Z,32.9
2025-10-27T15:37:00Z,32.7
2025-10-27T15:38:00Z,32.5
2025-10-27T15:39:00Z,32.3
2025-10-27T15:40:00Z,32.3
2025-10-27T15:41:00Z,32.3
2025-10-27T15:42:00Z,32.3
2025-10-27T15:43:00Z,32.3
2025-10-27T15:44:00Z,32.3
2025-10-27T15:45:00Z,32.1
2025-10-27T15:46:00Z,32.815
2025-10-27T15:47:00Z,32.1
2025-10-27T15:48:00Z,31.8
2025-10-27T15:49:00Z,32.1
2025-10-27T15:50:00Z,32.1
2025-10-27T15:51:00Z,32.1
2025-10-27T15:52:00Z,31.8
2025-10-27T15:53:00Z,31.8
2025-10-27T15:54:00Z,31.8
2025-10-27T15:55:00Z,31.8
2025-10-27T15:56:00Z,31.8
2025-10-27T15:57:00Z,31.8
2025-10-27T15:58:00Z,31.6
2025-10-27T15:59:00Z,31.6
2025-10-27T16:00:00Z,31.8
2025-10-27T16:01:00Z,31.6
2025-10-27T16:02:00Z,31.8
2025-10-27T16:03:00Z,32.1
2025-10-27T16:04:00Z,31.8
2025-10-27T16:05:00Z,31.8
2025-10-27T16:06:00Z,31.8
2025-10-27T16:07:00Z,31.8
2025-10-27T16:08:00Z,31.8
2025-10-27T16:09:00Z,31.6
2025-10-27T16:10:00Z,31.4
2025-10-27T16:11:00Z,31.2
2025-10-27T16:12:00Z,31.2
2025-10-27T16:13:00Z,31.0
2025-10-27T16:14:00Z,30.8
2025-10-27T16:15:00Z,30.8
2025-10-27T16:16:00Z,30.8
2025-10-27T16:17:00Z,30.8
2025-10-27T16:18:00Z,31.0
2025-10-27T16:19:00Z,31.2
2025-10-27T16:20:00Z,31.2
2025-10-27T16:21:00Z,31.4
2025-10-27T16:22:00Z,31.6
2025-10-27T16:23:00Z,31.8
2025-10-27T16:24:00Z,31.6
2025-10-27T16:25:00Z,31.6
2025-10-27T16:26:00Z,31.8
2025-10-27T16:27:00Z,31.8
2025-10-27T16:28:00Z,31.8
2025-10-27T16:29:00Z,31.8
2025-10-27T16:30:00Z,31.8
2025-10-27T16:31:00Z,31.8
2025-10-27T16:32:00Z,31.6
2025-10-27T16:33:00Z,31.6
2025-10-27T16:34:00Z,31.6
2025-10-27T16:35:00Z,31.6
2025-10-27T16:36:00Z,31.6
2025-10-27T16:37:00Z,31.4
2025-10-27T16:38:00Z,31.4
2025-10-27T16:39:00Z,31.4
2025-10-27T16:40:00Z,31.2
2025-10-27T16:41:00Z,31.2
