timestamp,beats per minute
2025-10-27T15:30:23Z,81.0
2025-10-27T15:30:28Z,84.0
2025-10-27T15:30:33Z,85.0
2025-10-27T15:30:38Z,91.0
2025-10-27T15:30:43Z,90.0
2025-10-27T15:30:53Z,91.0
2025-10-27T15:30:58Z,90.0
2025-10-27T15:32:47Z,87.0
2025-10-27T15:32:52Z,88.0
2025-10-27T15:32:57Z,88.0
2025-10-27T15:33:02Z,85.0
2025-10-27T15:33:07Z,86.0
2025-10-27T15:33:12Z,87.0
2025-10-27T15:33:17Z,86.0
2025-10-27T15:33:22Z,88.0
2025-10-27T15:33:27Z,89.0
2025-10-27T15:33:37Z,88.0
2025-10-27T15:33:47Z,90.0
2025-10-27T15:33:57Z,91.0
2025-10-27T15:34:02Z,92.0
2025-10-27T15:34:07Z,97.0
2025-10-27T15:34:12Z,96.0
2025-10-27T15:34:17Z,99.0
2025-10-27T15:34:22Z,100.0
2025-10-27T15:34:27Z,103.0
2025-10-27T15:34:32Z,101.0
2025-10-27T15:34:37Z,100.0
2025-10-27T15:34:47Z,94.0
2025-10-27T15:34:52Z,95.0
2025-10-27T15:35:02Z,97.0
2025-10-27T15:35:12Z,99.0
2025-10-27T15:35:17Z,101.0
2025-10-27T15:35:32Z,100.0
2025-10-27T15:35:37Z,99.0
2025-10-27T15:35:42Z,101.0
2025-10-27T15:35:52Z,98.0
2025-10-27T15:35:57Z,97.0
2025-10-27T15:36:02Z,98.0
2025-10-27T15:36:07Z,100.0
2025-10-27T15:36:12Z,103.0
2025-10-27T15:36:22Z,104.0
2025-10-27T15:36:32Z,99.0
2025-10-27T15:36:37Z,100.0
2025-10-27T15:36:42Z,96.0
2025-10-27T15:36:47Z,98.0
2025-10-27T15:36:57Z,95.0
2025-10-27T15:37:02Z,98.0
2025-10-27T15:37:07Z,95.0
2025-10-27T15:37:12Z,96.0
2025-10-27T15:37:17Z,93.0
2025-10-27T15:37:22Z,95.0
2025-10-27T15:37:27Z,94.0
2025-10-27T15:37:32Z,95.0
2025-10-27T15:37:37Z,94.0
2025-10-27T15:37:42Z,92.0
2025-10-27T15:37:57Z,94.0
2025-10-27T15:38:02Z,95.0
2025-10-27T15:38:07Z,98.0
2025-10-27T15:38:12Z,99.0
2025-10-27T15:38:17Z,100.0
2025-10-27T15:38:32Z,95.0
2025-10-27T15:38:37Z,95.0
2025-10-27T15:38:42Z,92.0
2025-10-27T15:38:57Z,91.0
2025-10-27T15:39:02Z,92.0
2025-10-27T15:39:07Z,91.0
2025-10-27T15:39:17Z,90.0
2025-10-27T15:39:32Z,93.0
2025-10-27T15:39:37Z,90.0
2025-10-27T15:39:47Z,92.0
2025-10-27T15:39:52Z,89.0
2025-10-27T15:39:57Z,90.0
2025-10-27T15:40:02Z,89.0
2025-10-27T15:40:07Z,90.0
2025-10-27T15:40:12Z,89.0
2025-10-27T15:40:17Z,87.0
2025-10-27T15:40:27Z,88.0
2025-10-27T15:40:32Z,89.0
2025-10-27T15:40:37Z,90.0
2025-10-27T15:40:42Z,91.0
2025-10-27T15:40:52Z,90.0
2025-10-27T15:40:57Z,88.0
2025-10-27T15:41:02Z,90.0
2025-10-27T15:41:07Z,93.0
2025-10-27T15:41:12Z,95.0
2025-10-27T15:41:27Z,95.0
2025-10-27T15:41:42Z,96.0
2025-10-27T15:41:47Z,98.0
2025-10-27T15:41:52Z,99.0
2025-10-27T15:41:57Z,100.0
2025-10-27T15:42:02Z,99.0
2025-10-27T15:42:12Z,96.0
2025-10-27T15:42:17Z,95.0
2025-10-27T15:42:22Z,97.0
2025-10-27T15:42:27Z,94.0
2025-10-27T15:42:37Z,92.0
2025-10-27T15:42:47Z,93.0
2025-10-27T15:42:52Z,92.0
2025-10-27T15:42:57Z,93.0
2025-10-27T15:43:02Z,94.0
2025-10-27T15:43:17Z,93.0
2025-10-27T15:43:22Z,95.0
2025-10-27T15:43:37Z,93.0
2025-10-27T15:43:42Z,91.0
2025-10-27T15:43:47Z,90.0
2025-10-27T15:44:02Z,92.0
2025-10-27T15:44:07Z,90.0
2025-10-27T15:44:17Z,85.0
2025-10-27T15:44:22Z,87.0
2025-10-27T15:44:27Z,88.0
2025-10-27T15:44:32Z,86.0
2025-10-27T15:44:37Z,87.0
2025-10-27T15:44:42Z,86.0
2025-10-27T15:44:47Z,87.0
2025-10-27T15:44:52Z,91.0
2025-10-27T15:44:57Z,97.0
2025-10-27T15:45:02Z,98.0
2025-10-27T15:45:07Z,99.0
2025-10-27T15:45:22Z,99.0
2025-10-27T15:45:27Z,98.0
2025-10-27T15:45:32Z,99.0
2025-10-27T15:45:37Z,100.0
2025-10-27T15:45:42Z,98.0
2025-10-27T15:45:47Z,97.0
2025-10-27T15:45:52Z,96.0
2025-10-27T15:45:57Z,93.0
2025-10-27T15:46:12Z,95.0
2025-10-27T15:46:17Z,96.0
2025-10-27T15:46:32Z,94.0
2025-10-27T15:46:37Z,95.0
2025-10-27T15:46:42Z,96.0
2025-10-27T15:46:52Z,97.0
2025-10-27T15:46:57Z,98.0
2025-10-27T15:47:02Z,99.0
2025-10-27T15:47:17Z,99.0
2025-10-27T15:47:27Z,98.0
2025-10-27T15:47:32Z,99.0
2025-10-27T15:47:42Z,98.0
2025-10-27T15:47:47Z,97.0
2025-10-27T15:47:52Z,98.0
2025-10-27T15:47:57Z,97.0
2025-10-27T15:48:02Z,96.0
2025-10-27T15:48:07Z,95.0
2025-10-27T15:48:12Z,97.0
2025-10-27T15:48:17Z,96.0
2025-10-27T15:48:22Z,95.0
2025-10-27T15:48:37Z,89.0
2025-10-27T15:48:42Z,87.0
2025-10-27T15:48:57Z,87.0
2025-10-27T15:49:02Z,90.0
2025-10-27T15:49:07Z,91.0
2025-10-27T15:49:12Z,90.0
2025-10-27T15:49:27Z,89.0
2025-10-27T15:49:32Z,88.0
2025-10-27T15:49:37Z,87.0
2025-10-27T15:49:42Z,88.0
2025-10-27T15:49:47Z,87.0
2025-10-27T15:49:52Z,88.0
2025-10-27T15:49:57Z,89.0
2025-10-27T15:50:02Z,88.0
2025-10-27T15:50:17Z,91.0
2025-10-27T15:50:22Z,93.0
2025-10-27T15:50:27Z,95.0
2025-10-27T15:50:32Z,94.0
2025-10-27T15:50:42Z,95.0
2025-10-27T15:50:47Z,94.0
2025-10-27T15:50:52Z,95.0
2025-10-27T15:51:07Z,96.0
2025-10-27T15:51:12Z,95.0
2025-10-27T15:51:17Z,94.0
2025-10-27T15:51:22Z,98.0
2025-10-27T15:51:27Z,100.0
2025-10-27T15:51:32Z,101.0
2025-10-27T15:51:37Z,100.0
2025-10-27T15:51:42Z,99.0
2025-10-27T15:51:47Z,96.0
2025-10-27T15:52:02Z,97.0
2025-10-27T15:52:12Z,96.0
2025-10-27T15:52:17Z,97.0
2025-10-27T15:52:22Z,95.0
2025-10-27T15:52:27Z,96.0
2025-10-27T15:52:32Z,95.0
2025-10-27T15:52:37Z,94.0
2025-10-27T15:52:42Z,92.0
2025-10-27T15:52:47Z,93.0
2025-10-27T15:52:57Z,92.0
2025-10-27T15:53:02Z,88.0
2025-10-27T15:53:07Z,87.0
2025-10-27T15:53:12Z,86.0
2025-10-27T15:53:22Z,87.0
2025-10-27T15:53:27Z,86.0
2025-10-27T15:53:32Z,88.0
2025-10-27T15:53:37Z,87.0
2025-10-27T15:53:42Z,87.0
2025-10-27T15:53:47Z,85.0
2025-10-27T15:53:57Z,86.0
2025-10-27T15:54:02Z,86.0
2025-10-27T15:54:07Z,88.0
2025-10-27T15:54:12Z,90.0
2025-10-27T15:54:17Z,88.0
2025-10-27T15:54:22Z,87.0
2025-10-27T15:54:27Z,88.0
2025-10-27T15:54:32Z,89.0
2025-10-27T15:54:37Z,92.0
2025-10-27T15:54:52Z,91.0
2025-10-27T15:54:57Z,89.0
2025-10-27T15:55:02Z,87.0
2025-10-27T15:55:07Z,89.0
2025-10-27T15:55:17Z,90.0
2025-10-27T15:55:22Z,91.0
2025-10-27T15:55:32Z,92.0
2025-10-27T15:55:47Z,92.0
2025-10-27T15:55:57Z,94.0
2025-10-27T15:56:02Z,96.0
2025-10-27T15:56:12Z,97.0
2025-10-27T15:56:17Z,96.0
2025-10-27T15:56:22Z,97.0
2025-10-27T15:56:37Z,97.0
2025-10-27T15:56:42Z,99.0
2025-10-27T15:56:57Z,100.0
2025-10-27T15:57:02Z,99.0
2025-10-27T15:57:12Z,98.0
2025-10-27T15:57:17Z,97.0
2025-10-27T15:57:22Z,98.0
2025-10-27T15:57:27Z,100.0
2025-10-27T15:57:32Z,101.0
2025-10-27T15:57:37Z,100.0
2025-10-27T15:57:42Z,98.0
2025-10-27T15:57:57Z,98.0
2025-10-27T15:58:02Z,99.0
2025-10-27T15:58:17Z,97.0
2025-10-27T15:58:22Z,98.0
2025-10-27T15:58:27Z,97.0
2025-10-27T15:58:32Z,98.0
2025-10-27T15:58:42Z,96.0
2025-10-27T15:58:47Z,98.0
2025-10-27T15:58:52Z,96.0
2025-10-27T15:58:57Z,95.0
2025-10-27T15:59:02Z,96.0
2025-10-27T15:59:07Z,98.0
2025-10-27T15:59:12Z,98.0
2025-10-27T15:59:17Z,96.0
2025-10-27T15:59:22Z,97.0
2025-10-27T15:59:32Z,95.0
2025-10-27T15:59:37Z,94.0
2025-10-27T15:59:42Z,95.0
2025-10-27T15:59:52Z,94.0
2025-10-27T15:59:57Z,93.0
2025-10-27T16:00:02Z,91.0
2025-10-27T16:00:07Z,92.0
2025-10-27T16:00:12Z,94.0
2025-10-27T16:00:17Z,97.0
2025-10-27T16:00:22Z,100.0
2025-10-27T16:00:27Z,101.0
2025-10-27T16:00:32Z,102.0
2025-10-27T16:00:37Z,100.0
2025-10-27T16:00:42Z,99.0
2025-10-27T16:00:52Z,98.0
2025-10-27T16:00:57Z,100.0
2025-10-27T16:01:02Z,101.0
2025-10-27T16:01:07Z,99.0
2025-10-27T16:01:17Z,95.0
2025-10-27T16:01:22Z,96.0
2025-10-27T16:01:27Z,96.0
2025-10-27T16:01:42Z,97.0
2025-10-27T16:01:47Z,98.0
2025-10-27T16:01:52Z,99.0
2025-10-27T16:01:57Z,100.0
2025-10-27T16:02:02Z,97.0
2025-10-27T16:02:17Z,99.0
2025-10-27T16:02:22Z,99.0
2025-10-27T16:02:27Z,98.0
2025-10-27T16:02:42Z,99.0
2025-10-27T16:02:47Z,100.0
2025-10-27T16:02:52Z,99.0
2025-10-27T16:02:57Z,101.0
2025-10-27T16:03:07Z,99.0
2025-10-27T16:03:12Z,98.0
2025-10-27T16:03:17Z,95.0
2025-10-27T16:03:22Z,94.0
2025-10-27T16:03:27Z,95.0
2025-10-27T16:03:42Z,93.0
2025-10-27T16:03:47Z,93.0
2025-10-27T16:03:57Z,95.0
2025-10-27T16:04:07Z,96.0
2025-10-27T16:04:12Z,94.0
2025-10-27T16:04:27Z,95.0
2025-10-27T16:04:37Z,97.0
2025-10-27T16:04:42Z,90.0
2025-10-27T16:04:52Z,88.0
2025-10-27T16:04:57Z,92.0
2025-10-27T16:05:02Z,91.0
2025-10-27T16:05:07Z,92.0
2025-10-27T16:05:12Z,93.0
2025-10-27T16:05:17Z,91.0
2025-10-27T16:05:27Z,92.0
2025-10-27T16:05:32Z,93.0
2025-10-27T16:05:37Z,91.0
2025-10-27T16:05:42Z,90.0
2025-10-27T16:05:57Z,92.0
2025-10-27T16:06:02Z,93.0
2025-10-27T16:06:07Z,92.0
2025-10-27T16:06:12Z,89.0
2025-10-27T16:06:22Z,87.0
2025-10-27T16:06:27Z,85.0
2025-10-27T16:06:32Z,85.0
2025-10-27T16:06:37Z,86.0
2025-10-27T16:06:42Z,87.0
2025-10-27T16:06:47Z,88.0
2025-10-27T16:06:52Z,90.0
2025-10-27T16:06:57Z,93.0
2025-10-27T16:07:12Z,90.0
2025-10-27T16:07:17Z,89.0
2025-10-27T16:07:22Z,88.0
2025-10-27T16:07:27Z,93.0
2025-10-27T16:07:32Z,94.0
2025-10-27T16:07:37Z,95.0
2025-10-27T16:07:42Z,96.0
2025-10-27T16:07:47Z,97.0
2025-10-27T16:07:57Z,98.0
2025-10-27T16:08:02Z,99.0
2025-10-27T16:08:07Z,98.0
2025-10-27T16:08:12Z,96.0
2025-10-27T16:08:17Z,97.0
2025-10-27T16:08:22Z,96.0
2025-10-27T16:08:27Z,97.0
2025-10-27T16:08:32Z,96.0
2025-10-27T16:08:47Z,95.0
2025-10-27T16:09:02Z,97.0
2025-10-27T16:09:07Z,96.0
2025-10-27T16:09:17Z,97.0
2025-10-27T16:09:22Z,98.0
2025-10-27T16:09:27Z,99.0
2025-10-27T16:09:32Z,98.0
2025-10-27T16:09:37Z,100.0
2025-10-27T16:09:47Z,99.0
2025-10-27T16:09:52Z,102.0
2025-10-27T16:10:02Z,104.0
2025-10-27T16:10:12Z,105.0
2025-10-27T16:10:17Z,104.0
2025-10-27T16:10:22Z,105.0
2025-10-27T16:10:32Z,104.0
2025-10-27T16:10:37Z,106.0
2025-10-27T16:10:42Z,105.0
2025-10-27T16:10:57Z,105.0
2025-10-27T16:11:02Z,103.0
2025-10-27T16:11:12Z,102.0
2025-10-27T16:11:22Z,103.0
2025-10-27T16:11:27Z,102.0
2025-10-27T16:11:32Z,98.0
2025-10-27T16:11:47Z,99.0
2025-10-27T16:11:57Z,101.0
2025-10-27T16:12:02Z,100.0
2025-10-27T16:12:07Z,101.0
2025-10-27T16:12:12Z,99.0
2025-10-27T16:12:17Z,98.0
2025-10-27T16:12:22Z,96.0
2025-10-27T16:12:27Z,98.0
2025-10-27T16:12:32Z,95.0
2025-10-27T16:12:37Z,98.0
2025-10-27T16:12:42Z,97.0
