timestamp,steps,data source
2025-11-06T08:14:00Z,20,Sense
2025-11-06T09:10:00Z,8,Sense
2025-11-06T09:11:00Z,7,Sense
2025-11-06T09:12:00Z,71,Sense
2025-11-06T09:13:00Z,29,Sense
2025-11-06T09:14:00Z,92,Sense
2025-11-06T09:15:00Z,53,Sense
2025-11-06T09:16:00Z,22,Sense
2025-11-06T09:18:00Z,11,Sense
2025-11-06T09:19:00Z,34,Sense
2025-11-06T09:20:00Z,11,Sense
2025-11-06T09:21:00Z,32,Sense
2025-11-06T09:22:00Z,27,Sense
2025-11-06T09:28:00Z,10,Sense
2025-11-06T10:00:00Z,6,Sense
2025-11-06T10:04:00Z,18,Sense
2025-11-06T10:05:00Z,25,Sense
2025-11-06T10:06:00Z,64,Sense
2025-11-06T10:07:00Z,40,Sense
2025-11-06T10:08:00Z,86,Sense
2025-11-06T10:09:00Z,40,Sense
2025-11-06T11:03:00Z,7,Sense
2025-11-06T11:05:00Z,7,Sense
2025-11-06T11:09:00Z,10,Sense
