clip_id,avg_inferred_arousal
AboutTime_000,4.0
AboutTime_001,4.4
AboutTime_002,3.6
AboutTime_003,4.333333333333333
AboutTime_004,3.6666666666666665
AboutTime_005,3.6666666666666665
AboutTime_006,4.0
AboutTime_007,4.4
AboutTime_008,4.4
AboutTime_009,3.6666666666666665
AboutTime_010,4.2
AboutTime_011,3.8333333333333335
AboutTime_012,4.2
AboutTime_013,3.8333333333333335
AboutTime_014,2.75
AboutTime_015,3.2
AboutTime_016,3.1666666666666665
AboutTime_017,3.2
AboutTime_018,3.6666666666666665
AboutTime_019,3.8
AboutTime_020,3.3333333333333335
AboutTime_021,3.8
AboutTime_022,3.2
AboutTime_024,3.8333333333333335
AboutTime_031,3.6
AboutTime_032,3.8333333333333335
AboutTime_035,3.5
AboutTime_038,3.8
AboutTime_042,4.0
AboutTime_046,4.0
AboutTime_048,3.6666666666666665
AboutTime_052,3.8333333333333335
AboutTime_056,3.8
AboutTime_066,3.5
AboutTime_068,4.2
AboutTime_069,3.6
AboutTime_071,3.6
AboutTime_073,4.2
AboutTime_075,3.0
AboutTime_077,3.6666666666666665
AboutTime_085,3.8
AboutTime_086,3.8
AboutTime_091,3.5
AboutTime_095,3.0
AboutTime_117,3.1666666666666665
AboutTime_120,3.5
AboutTime_130,3.2
AboutTime_131,4.0
AboutTime_132,3.6
AboutTime_133,3.6
AboutTime_134,3.6
AboutTime_135,3.4
AboutTime_136,3.6666666666666665
Gifted_041,3.6
Gifted_045,3.5
Gifted_049,3.4
LadyBird_001,3.5
LadyBird_003,4.5
LadyBird_005,3.8
LadyBird_011,3.5
LadyBird_013,4.0
LadyBird_017,3.3333333333333335
LadyBird_019,3.8333333333333335
LadyBird_024,3.8
LadyBird_030,3.6666666666666665
LadyBird_031,3.8
LadyBird_045,3.6666666666666665
LadyBird_048,3.6
LadyBird_054,4.2
LadyBird_055,4.166666666666667
LadyBird_056,3.6
LadyBird_057,3.4
LadyBird_066,3.8333333333333335
LadyBird_068,4.166666666666667
LadyBird_069,4.2
LadyBird_077,3.8
LadyBird_080,3.8
LadyBird_081,3.5
LadyBird_088,3.8333333333333335
LadyBird_092,3.3333333333333335
LadyBird_093,4.333333333333333
LadyBird_099,4.2
LadyBird_104,3.8
LadyBird_109,4.0
LadyBird_110,4.166666666666667
TheBlindSide_000,3.6
TheBlindSide_001,3.0
TheBlindSide_002,3.6666666666666665
TheBlindSide_003,3.6
TheBlindSide_004,3.6
TheBlindSide_005,3.8333333333333335
TheBlindSide_006,4.0
TheBlindSide_007,4.0
TheBlindSide_008,3.8333333333333335
TheBlindSide_009,3.8
TheBlindSide_010,3.8333333333333335
TheBlindSide_011,3.8333333333333335
TheBlindSide_012,3.1666666666666665
TheBlindSide_013,3.8
TheBlindSide_014,3.0
TheBlindSide_015,4.0
TheBlindSide_016,3.3333333333333335
TheBlindSide_017,3.3333333333333335
TheBlindSide_018,3.3333333333333335
TheBlindSide_019,3.8
TheBlindSide_020,4.0
TheBlindSide_021,3.8333333333333335
TheBlindSide_022,3.8333333333333335
TheBlindSide_024,4.0
TheBlindSide_025,4.0
TheBlindSide_027,3.5
TheBlindSide_028,3.4
TheBlindSide_029,3.2
TheBlindSide_031,3.3333333333333335
