timestamp,pid,value,device_serial,device_number,entry_time
1548724972000.0000000000,10,0E-10,A01BBE,5,1548724972000
1548724972015.6201171875,10,0E-10,A01BBE,5,1548724972000
1548724972031.2500000000,10,0E-10,A01BBE,5,1548724972000
1548724972046.8798828125,10,0E-10,A01BBE,5,1548724972000
1548724972062.5000000000,10,0E-10,A01BBE,5,1548724972000
1548724972078.1201171875,10,0E-10,A01BBE,5,1548724972000
1548724972093.7500000000,10,0E-10,A01BBE,5,1548724972000
1548724972109.3798828125,10,0E-10,A01BBE,5,1548724972000
1548724972125.0000000000,10,0E-10,A01BBE,5,1548724972000
1548724972140.6201171875,10,0E-10,A01BBE,5,1548724972000
1548724972156.2500000000,10,0E-10,A01BBE,5,1548724972000
1548724972171.8798828125,10,0.0100000000,A01BBE,5,1548724972000
1548724972187.5000000000,10,0.0100000000,A01BBE,5,1548724972000
1548724972203.1201171875,10,0E-10,A01BBE,5,1548724972000
1548724972218.7500000000,10,-0.0300000000,A01BBE,5,1548724972000
1548724972234.3798828125,10,-0.0500000000,A01BBE,5,1548724972000
1548724972250.0000000000,10,-0.0500000000,A01BBE,5,1548724972000
1548724972265.6201171875,10,0E-10,A01BBE,5,1548724972000
1548724972281.2500000000,10,0.1300000000,A01BBE,5,1548724972000
1548724972296.8798828125,10,0.3600000000,A01BBE,5,1548724972000
1548724972312.5000000000,10,0.6600000000,A01BBE,5,1548724972000
1548724972328.1201171875,10,1.0100000000,A01BBE,5,1548724972000
1548724972343.7500000000,10,1.3700000000,A01BBE,5,1548724972000
1548724972359.3798828125,10,1.7200000000,A01BBE,5,1548724972000
1548724972375.0000000000,10,2.0600000000,A01BBE,5,1548724972000
1548724972390.6201171875,10,2.4000000000,A01BBE,5,1548724972000
1548724972406.2500000000,10,2.7900000000,A01BBE,5,1548724972000
1548724972421.8798828125,10,3.2400000000,A01BBE,5,1548724972000
1548724972437.5000000000,10,3.8000000000,A01BBE,5,1548724972000
1548724972453.1201171875,10,4.4200000000,A01BBE,5,1548724972000
1548724972468.7500000000,10,5.0600000000,A01BBE,5,1548724972000
1548724972484.3798828125,10,5.6600000000,A01BBE,5,1548724972000
1548724972500.0000000000,10,6.2000000000,A01BBE,5,1548724972000
1548724972515.6201171875,10,6.6800000000,A01BBE,5,1548724972000
1548724972531.2500000000,10,7.1500000000,A01BBE,5,1548724972000
1548724972546.8798828125,10,7.6800000000,A01BBE,5,1548724972000
1548724972562.5000000000,10,8.3100000000,A01BBE,5,1548724972000
1548724972578.1201171875,10,9.1400000000,A01BBE,5,1548724972000
1548724972593.7500000000,10,10.0900000000,A01BBE,5,1548724972000
1548724972609.3798828125,10,11.0400000000,A01BBE,5,1548724972000
1548724972625.0000000000,10,11.8800000000,A01BBE,5,1548724972000
1548724972640.6201171875,10,12.5600000000,A01BBE,5,1548724972000
1548724972656.2500000000,10,13.1400000000,A01BBE,5,1548724972000
1548724972671.8798828125,10,13.7600000000,A01BBE,5,1548724972000
1548724972687.5000000000,10,14.6500000000,A01BBE,5,1548724972000
1548724972703.1201171875,10,15.9600000000,A01BBE,5,1548724972000
1548724972718.7500000000,10,17.9100000000,A01BBE,5,1548724972000
1548724972734.3798828125,10,20.3200000000,A01BBE,5,1548724972000
1548724972750.0000000000,10,22.9000000000,A01BBE,5,1548724972000
1548724972765.6201171875,10,25.3800000000,A01BBE,5,1548724972000
1548724972781.2500000000,10,27.5800000000,A01BBE,5,1548724972000
1548724972796.8798828125,10,29.5700000000,A01BBE,5,1548724972000
1548724972812.5000000000,10,31.6800000000,A01BBE,5,1548724972000
1548724972828.1201171875,10,34.3200000000,A01BBE,5,1548724972000
